Name,Review_Date,Review,Owner_Response,Response_Date,Response
Jayesh Vyaasa (Vjayesh),7 years ago,The non veg service is top notch they will ask you about the food and service. But why it's not same with veg people ? I had to call for a refill all the time atleast 3-4 times.  Seems they would not care. I understand that non veg has high …,Response from the owner,7 years ago,"Dear Guest

We sincerely apologies for the inconvenience. We are indeed concerned on the …"
Vindhyeshwari Kumar KASHYAP,2 years ago,"Visited with office colleague. This time service was too slow. No one was answering any trivial question. Asked for butter-nan, it arrived after finishing main course. There are many other alternatives to this place and much better in same …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Pothana Asha,4 years ago,"Food was average and they weren't serving to everyone, even though asked for basic ingredients like ketchup they were unresponsive and just leave the table as if they haven't listened. There were no varieties of food. …",,,
d ibrahim,a year ago,"The service people deosn't have minimum manners... me and our family guests are having our lunch and one service guy came and said ""time to leave the seat sir your time is exceeding in next 5 minutes. Plz leave""",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Hashim Junaid,5 years ago,"Poor service,  worst customer handling,  tiny place with bad ambiance,  tasteless starters with one main course, over pulpy cut fruits, . Overall bad experience. …",,,
Mubeen Ali,2 years ago,I have visited with family yesterday.. food experience was good.. but the bday music have ruined the complete dinner.. every 5 min a different bday music is played n high volume which actually makes us leave early without enjoying ambience and food..,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Pradeep Edagotti,5 years ago,"The place is not hygienic, the food is not tasty, but cheap, if you want to give a ""not interested to give"" party, you can go here. Out of the few starters served, we liked only chicken tikka & Corn. Shiek Mutton was not good. Fish was not …",,,
Satish Kumar,4 years ago,"The worst barbeque ever placed in Hyderabad. There is no service at all. Only I've seen 2 servers for 50 people. U have to wait along for them to serve. They mostly serve cold food items, even it's veg or non-veg. Even they didn't provide …",,,
PUJA KHANDELWAL,2 years ago,We went for team lunch of 27 people. The food was stale. Worst taste. Bad service. Extremely spicy. Bad ambience. Nthg ABT it which I can was nice.,,,
David Benjamin Kaveri,2 years ago,"It's totally worthless. There was no chicken butter masala, they didn't serve corn and pineapple barbeque until we insisted. Biryani too is hopeless thereby 1 stars.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sirisha Reddy,3 years ago,Visited this place after about 2 years yesterday 1st Feb and to our surprise even after booking the table we were given some random where there is little A/C flow. Service is the worst hit. Starters were not served hot. Drinks we order …,,,
Celam Akhilesh Patel,3 years ago,For service I will rate 4/5 but for food taste 2.5 /5  what ever the cake they give for bday celebration  is really worst taste local bakery cakes are better n when it comes to stone ice there is only pan flavour is available but not other …,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Ratna Sweetoo,2 years ago,Worst experience with ambiance and services provided. No quality of food maintained. …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Nagi Reddy Kaipu,3 years ago,"This branch will close soon. Record speed quality degrade. Was good earlier. Visited first time after lockdown, food bad. We booked table at 12 noon, not all food items in the buffet were ready even while we are coming out @ 1:45 pm. Manager response pathetic ( Just Lying).",,,
Sashank Pagadala,2 years ago,"Team pls check for feedback with your own manager at gbowli ABs name is Vishal he knows what happened with service, billing time and what was promised failed. ABs sorry to say but game over soon for your establishment.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Subhash Reddy,7 months ago,"Very low quality & unhygienic food, no proper service.",,,
Vijay Krosuri,4 years ago,"Worst service, too much noisy music, not at all concerned of customer request to play misic in low volume. Our group of 13 people were unable to chat as we could hardly hear each other. Water drops from ac duct. Food is served as if they are doing a charity. I would not visit this again.",,,
aravelli priyanka,a year ago,"Just now visited AB s gachibowli, worst experience, got cockroach in non veg soup, unable to upload picture, as permissions denied
Even lots of dirt on plates, don't visit this branch",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-286402) on …"
Venkatramana Vudurbati,3 years ago,It was a very bad experience this time..over crowded.. quality of food was really bad. Most of the barbecue was burnt and the response from the waiter was that's how barbecue is made had to ask multiple times for one dish and wait in the …,,,
Siva Are,2 years ago,"Pathetic service and u will never find more congested restaurant. Staff r not friendly, plates r not clean (hygiene doesn't exist for them) .
Visit at your own risk",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Joe Pawar,2 years ago,I went here with two people and there was live kitchen but then when it comes to food I would like to share about veg starters and I was really disappointed as 70% was tasteless even the buffet and the dessert is just so basic and low …,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Ankit A,3 years ago,Such a worse experience..charging 700 and then giving a starter option with just 4 to 5 options. How can you keep just a single fish tikka in the menu without the prawns and tandoori.Adding to our frustation there was nothing there even the …,,,
azmat azmat,5 years ago,"FYI: This review is for Absolute Barbecue's @Gachibowli.

Don't go on a weekend. Service is worst. They were getting the wish grill as if …",Response from the owner,5 years ago,"Dear Guest

Thank you for rating us. We indeed like to know the reason behind rating it …"
Sumit Kumar,2 years ago,"Went on a sunday, food was underwhelming... place was full of smoke and no proper ventilation.... lot of waiting for food, food that was not worth it...  starters and desserts were the worst...  ppl pls avoid better to go for some other restaurant",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
SANCHIT SHUKLA,2 years ago,It was not a good experience. Food was ok. service was pathetic. It was like I am in a wedding in which food is over and I am late. I will suggest its not worth for 500 rs.,,,
Himanshu Bansal,2 years ago,"Very bad management. No cordination between. Food was also average. It is good if you are going first time to experience bbq. But overall. Very poor service, food and ambience.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
yaswanth kumar,2 years ago,"These days the service and it was worst .
The food taste and standards were so low and dropped from intial days to 2022. Its very disappointing and frustrating to have a experience like this.",,,
kushal subbu,5 years ago,"Wrost Servicing, no such varieties in Veg and that to very bad taste what they have served in Veg... Not spacious very conjsted.. Only one main course for both Veg & Non veg.. Too much disturbance can't even speak with next person who is …",,,
Supriya Barman,5 years ago,"Plz guys ...the food is too worst , I just came out and giving feedback, staff are very good and supportive but the food starters yakk, biryani was good , ice creams will spoil the whole fun worst, we were having drinks and went to dance …",,,
tapobrata bardhan,2 years ago,"Bad food, terrible service. All starters were bone dry. Service was pathetic. Only good thing was the pan ice cream. We were a party of 12 and got the worst possible treatment. Avoid.",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
sweet anu,2 years ago,It was a bad experience. Ambience was poor. Spread was limited. Desserts were very limited. Place wasn't well maintained.,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Varshini Dasari,2 years ago,The food was stored food ...not fresh one..the taste itself is showing that....service also not at all good..i suffered alot with vomiting after eating there.,Response from the owner,2 years ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
A.R. Prabhu,5 years ago,I visited them last Wednesday and suffered stomach upset for the next three days. The chicken kebab they served was burnt and I realized that it was probably the leftover/stale meat that was reheated and served. The taste is nothing to talk …,Response from the owner,5 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
sai bharath,5 years ago,"I am writing this, sitting right in the restaurant, they have more noise but pathetic food, very pathetic food quality.
Chicken tikka is not cooked well. No food is of good quality. …",,,
yash jain,6 years ago,"The taste of AB's has drastically gone down.The starters for instance have no taste at times,panner is not marinated properly and the non veg starters are not great either.The buffet does not have too many varieties as it had before.It has …",,,
Shyamli Gupta,5 years ago,Went here with lots of expectations... Bad food and bad service. Staff makes stories for not serving specific items for his knows what reason. Didn't like it. Had to leave before completing the meal.,,,
Bindupriya Vaaldhaasi,2 years ago,"Please have some time sense
Too much waiting
Ppl like us with busy time schedule can't spend this much time on waiting, no …",Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sai Narayana,a year ago,"Worst place for bbq in hyd,, this location always accepts more than severvable capacity and cannot manage the crowd efficiently as a result.",Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Chinnu Pawar,10 months ago,"Hey brother, what a wonderful taste this chicken has cooked without hurrying??",Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-337348) on …"
Shivlaljat Laljat,5 years ago,Shiv Lal Jat,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
shashank reddy,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Rithik Bansfore,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Rakesh Patel,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Nithin Reddy,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
manne ajay,4 years ago,The barks,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Nigel Pasanna,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Sai Kumar Pilla,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Sreekanth Reddy Bodeddula,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
TUSHAR RAINA,6 years ago,fuddu,Response from the owner,6 years ago,"Dear Guest

We sincerely apologize for the inconvenience caused. We are indeed concerned on …"
Raju Vishlavatha,4 years ago,Normal,,,
Roshan Kadasani,2 years ago,,Response from the owner,2 years ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Danda Anvesh Chowdary,2 years ago,,,,
sai sandeep chittaluri,2 years ago,,,,
Stay Kirrak,2 years ago,,,,
suresh kumar krishnamurthy,2 years ago,,,,
Kaushik Srinivas,2 years ago,,,,
Pavan Kumar,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Mahesh Bolishetti,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
vineel Sarikonda,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vinod Kumar muntha,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
rishika varma,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
venkatesh bezawada,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
RaMesh kuMar BanDaru,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Prem kumar,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vinay Surya,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
ANEEL KUMAR,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Arun Mohapatra,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sudhir Pothula,5 years ago,,,,
Swetha Pai,2 weeks ago,,,,
chinna Raja,4 weeks ago,,,,
sri latha,a month ago,,,,
Kishore yerasu,a month ago,,,,
Sreeraj Cp,a month ago,,,,
saikumar reddy,2 months ago,,,,
HARIHAR MEHER,2 months ago,,,,
Emula Kavitha,2 months ago,,,,
sai kumarreedy,3 months ago,,,,
Ramireddy Umamahesh,3 months ago,,,,
M VIDHYA SAGAR,4 months ago,,,,
Sridevi Dandela,4 months ago,,,,
Harish Borra,4 months ago,,,,
Pavan Thorati,4 months ago,,,,
Jagadishwar Reddy,4 months ago,,,,
shireen banu,4 months ago,,,,
Nadipineni Hitesh,4 months ago,,,,
Megha Agarwal,4 months ago,,,,
R V R,4 months ago,,,,
Satish kumar reddy Busireddy,4 months ago,,,,
Pari Syed,5 months ago,,,,
Priyanka Rai,6 months ago,,,,
Pranay Das,6 months ago,,,,
Surendra Babu Eeti,7 months ago,,,,
dandola suresh,7 months ago,,,,
Faruk ALI,8 months ago,,,,
Suhail,8 months ago,,,,
Shrikant Patel,8 months ago,,Response from the owner,8 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(  ZLCT-355493   ) on …"
A. R. P,9 months ago,,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(  ZLCT-343795   ) on …"
Vm Shiva,9 months ago,,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-341557) on …"
shiva krishna matam,9 months ago,,Response from the owner,9 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-339119) on …"
Anil karri,10 months ago,,Response from the owner,10 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-333270) on …"
Krishna Vamsi,11 months ago,,Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -()ZLCT-322657 on …"
Rahim Shaik,11 months ago,,Response from the owner,11 months ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-316381) on …"
Milind Kamboj,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-314553) on …"
Prasad TJ,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-313174) on …"
santosh Jayachandran,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -()ZLCT-299923 on …"
Debasish Nayak,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-271909) on …"
swetha chintala,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -ZLCT-267597) on …"
ambati koushik,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-265031) on …"
shanmukha malla,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-261487) on …"
chaitanya krishna,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-260416) on …"
Triple K,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -( ZLCT-259619 ) on …"
vamsi krishna,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-259443) on …"
praveen kumar,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-257612) on …"
Lucky Subhan,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no & name with this ticket id -(ZLCT-256745) on …"
Arunima Rajesh,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Jayanth Reddy,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Pavan Singh,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the sad experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Sai Charan Koppula,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Rahul Sharma,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Vishal Sharma,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Rahul Singh,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Vijay Gupta,a year ago,,Response from the owner,a year ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the said experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
Raghuvardhan Reddy Muthyala,2 years ago,,,,
sai praveen,2 years ago,,,,
chaithanya kothapalli,2 years ago,,,,
BGNLN SWAMY,2 years ago,,Response from the owner,2 years ago,"Dear Guest, Sorry for the inconvenience caused. Our sincere apologies. We would like to connect with you on the experience, would request you to share your mobile no on wecare@absolute-barbecue.com. We look forward to improve and would be delighted to win you back. Warm Regards Team ABs"
pradeep deveraneni,2 years ago,,,,
S Sri Vijaya Prakash,2 years ago,,,,
krishna chaitanya,2 years ago,,,,
Anugula naveen kumar,2 years ago,,,,
Hemasamanthnath Divi,2 years ago,,,,
Sunita Nayak,2 years ago,,,,
Ayush Shukla,2 years ago,,Response from the owner,2 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Goutham Lucky,2 years ago,,,,
Sharath Chandra,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
sivakrishna vukkem,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
soumya bethalam,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
sai kaushik,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
mihika a,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Pavan Goud,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vishal Kamble,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Venkatareddy Boreddy,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
The Brands Shoppee Wholesale & Retail,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
VINAY,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
shobha devi,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Yogesh Gupta,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sikkireddi Prasad,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
anil kumar reddy,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Rachana rachu,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Random Fella,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
krishna priya,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Bhagavan Thota,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
CHOWDARY BALAJI,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
agasthya s,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
srivay recliners,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
uday _1241,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sadik Sharif,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
yousuf khan,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Vidyaprasanth Reddy,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Kiran sai5030,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Prabhakar Deverakonda,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Sunil Gandhe,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Wild Bunch,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Malla Reddy,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Saiganesh Saiganesh,2 years ago,,Response from the owner,2 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Somesh Pokarne,3 years ago,,Response from the owner,3 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
028 Gnanadathareddy,3 years ago,,Response from the owner,3 years ago,"“Hi,

We regret the inconveniences you have faced and request you to share your …"
Yadagiri Mamatha,3 years ago,,,,
Illa Rajesh,3 years ago,,,,
Atul Kumar,3 years ago,,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
m sai sudheer,3 years ago,,Response from the owner,3 years ago,"Hi,

Thank you for taking the time to provide a rating. Your ratings are valued …"
Bushra Fatima,3 years ago,,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Anil Vishwakarma,3 years ago,,,,
Sohail Da Myth,3 years ago,,,,
avinash g,3 years ago,,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
HUSSAIAN PASHA,3 years ago,,,,
sai vinay,3 years ago,,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Shiva Rama Raju,3 years ago,,,,
chandni bindra,3 years ago,,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Sri Ravali,3 years ago,,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
sneha Duggirala,3 years ago,,Response from the owner,3 years ago,"Hi,

We regret the inconveniences you have faced and request you to share your …"
Krishna,3 years ago,,Response from the owner,3 years ago,"""Hi, Krishna,

We regret the inconveniences you have faced and request you to share your …"
Manikumar Jarupati,3 years ago,,Response from the owner,3 years ago,"""Hi, Manikumar Jarupati,

We regret the inconvenience you had faced and request you to share your contact …"
Subrata Roy,3 years ago,,Response from the owner,3 years ago,"""Hi, Subrata Roy,

We regret the inconveniences you have faced and request you to share your …"
Police Balreddy,3 years ago,,,,
Saikumar Reddy,3 years ago,,,,
Hema Singh,3 years ago,,,,
Tatikonda Venugopal,3 years ago,,Response from the owner,3 years ago,"""Hi, Tatikonda Venugopal,

We regret the inconveniences you have faced and request you to share your …"
Srikanth Tangella,3 years ago,,Response from the owner,3 years ago,"""Hi, Srikanth Tangella,

We regret the inconveniences you have faced and request you to share your …"
sailaja chaparal,3 years ago,,,,
Santosh Santosh Kumar,3 years ago,,,,
sravan jinnareddy,3 years ago,,,,
Vystnavi Gaikoti,3 years ago,,,,
brgv 99,3 years ago,,,,
p.venkatesh yadav,3 years ago,,,,
vishwanath matam,3 years ago,,,,
Niharika Kasoju,3 years ago,,,,
Hameed Khan,3 years ago,,,,
D NABI,3 years ago,,,,
Swathi Shetty,3 years ago,,,,
Ravikumar Nair,3 years ago,,,,
B Bhaskar Reddy,3 years ago,,,,
ranga sai,3 years ago,,,,
kumar swamy,3 years ago,,,,
Arvapalli Revanth,3 years ago,,,,
Akhil Reddy,3 years ago,,,,
shanmukha karthik,4 years ago,,,,
Arpana E,4 years ago,,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
suresh babu,4 years ago,,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
srilekhareddy kunduru,4 years ago,,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Suraj Surendran,4 years ago,,,,
Yaser Ali Tariq,4 years ago,,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
Bharath Goud,4 years ago,,Response from the owner,4 years ago,"Hi,

We sincerely apologize for the inconvenience caused. …"
